res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs22,gs16,Outer Lower West,Middle Lower West,24580
gs22,gs17,Outer Lower West,Outer North,100
gs22,gs18,Outer Lower West,Outer Northwest,518
gs22,gs19,Outer Lower West,Outer Southwest,3615
gs22,gs20,Outer Lower West,Outer West,11484
gs22,gs21,Outer Lower West,Outer Upper West,3157
gs22,gs22,Outer Lower West,Outer Lower West,47063
gs22,gs23,Outer Lower West,External Illinois,3052
gs22,gs24,Outer Lower West,External Indiana,55
gs23,gs01,External Illinois,Central,1642
gs23,gs02,External Illinois,Inner North,331
gs23,gs03,External Illinois,Inner Northwest,972
gs23,gs04,External Illinois,Inner South,773
gs23,gs05,External Illinois,Inner Southwest,647
gs23,gs06,External Illinois,Inner West,384
gs23,gs07,External Illinois,Inner Upper West,170
gs23,gs08,External Illinois,Inner Lower West,363
gs23,gs09,External Illinois,Northwest Indiana,495
gs23,gs10,External Illinois,Middle North,89
gs23,gs11,External Illinois,Middle Northwest,1563
gs23,gs12,External Illinois,Middle/Outer South,2435
gs23,gs13,External Illinois,Middle Southwest,1333
gs23,gs14,External Illinois,Middle West,2351
gs23,gs15,External Illinois,Middle Upper West,1684
gs23,gs16,External Illinois,Middle Lower West,3866
gs23,gs17,External Illinois,Outer North,115
gs23,gs18,External Illinois,Outer Northwest,4160
gs23,gs19,External Illinois,Outer Southwest,8430
gs23,gs20,External Illinois,Outer West,3418
gs23,gs21,External Illinois,Outer Upper West,3601
gs23,gs22,External Illinois,Outer Lower West,6998
gs23,gs23,External Illinois,External Illinois,229018
gs23,gs24,External Illinois,External Indiana,61
gs23,gs25,External Illinois,External Wisconsin,507
gs24,gs01,External Indiana,Central,3224
gs24,gs02,External Indiana,Inner North,262
gs24,gs03,External Indiana,Inner Northwest,346
gs24,gs04,External Indiana,Inner South,2424
gs24,gs05,External Indiana,Inner Southwest,737
