id,vadt,AADT,FacilityType
10730-10718,2419.134852,850,Arterial/Collector
10730-10795,9038.505048,3700,Arterial/Collector
10732-10703,10041.35599,4200,Interstate
10732-20265,71017.3542,78250,Interstate
10738-21738,74651.84165,75600,Interstate
10745-10768,5942.068104,4050,Interstate
10755-20156,5329.468079,3100,Interstate
10757-10716,2973.792504,2750,Arterial/Collector
10757-10758,4304.157507,4750,Arterial/Collector
10758-10639,27157.63001,14350,Arterial/Collector
10758-10757,2973.792504,4750,Arterial/Collector
10758-10759,6987.490694,4750,Arterial/Collector
10758-11090,21018.76789,14350,Arterial/Collector
10759-10598,7641.19353,8750,Arterial/Collector
10759-10758,7316.481562,4750,Arterial/Collector
10759-10821,8471.186262,8750,Arterial/Collector
10762-10613,19981.11695,11550,Arterial/Collector
10762-10772,3387.2613,3650,Arterial/Collector
10762-10831,20814.90812,11550,Arterial/Collector
10763-10711,5327.131638,3300,Arterial/Collector
10763-11089,2545.904399,3250,Arterial/Collector
10768-10967,94843.65015,33400,Interstate
10772-10762,3227.811642,3650,Arterial/Collector
10782-10822,3052.42407,4100,Interstate
10782-11045,87299.39428,27350,Interstate
10783-10965,2814.245691,450,Arterial/Collector
10785-10761,8681.19165,6500,Interstate
10785-20481,27762.23188,24850,Interstate
10789-10403,36896.0305,24850,Interstate
10792-23670,17016.24944,10500,Arterial/Collector
10793-10698,858.8456272,500,Arterial/Collector
10795-10730,7206.515407,3700,Arterial/Collector
10795-10812,5435.393186,1700,Arterial/Collector
10795-10842,4652.365188,3700,Arterial/Collector
10796-10830,3883.074721,6150,Arterial/Collector
10799-20155,9727.565116,9200,Interstate
10799-20159,67527.09116,57100,Interstate
10800-10848,3175.520834,2800,Interstate
10801-10182,3318.949911,1350,Arterial/Collector
10801-10839,6313.835202,1100,Interstate
10804-10725,13102.13044,3900,Arterial/Collector
10805-10554,22152.67866,19800,Arterial/Collector
10805-10859,24934.50201,19800,Arterial/Collector
10807-21526,4653.538805,2300,Interstate
10808-10840,9007.375476,850,Interstate
10809-10713,6513.805359,7000,Arterial/Collector
10809-10851,24893.71387,6600,Interstate
10812-10795,4745.924201,1700,Arterial/Collector
10812-10856,5434.553548,2200,Arterial/Collector
10814-10821,4408.21174,6600,Arterial/Collector
10816-10860,6052.064938,2300,Interstate
10817-10863,9723.181618,1500,Interstate
10821-10759,7837.795995,8750,Arterial/Collector
10821-10814,5020.373878,6600,Arterial/Collector
10825-10708,8293.305121,2750,Arterial/Collector
10825-10936,9050.031687,2750,Arterial/Collector
10826-10709,7974.530686,7000,Arterial/Collector
10826-11107,7281.969997,7000,Arterial/Collector
10830-10796,3069.29244,6150,Arterial/Collector
10830-10835,6103.721371,6600,Arterial/Collector
10830-10847,14435.73965,6600,Arterial/Collector
10830-11039,13504.60807,6150,Arterial/Collector
10831-10762,19750.69368,11550,Arterial/Collector
10831-10836,5841.114099,5500,Arterial/Collector
10831-11125,18984.84126,10650,Arterial/Collector
10832-10858,19478.15678,10800,Arterial/Collector
10832-10905,15452.53777,3050,Arterial/Collector
10835-10830,6471.944257,6600,Arterial/Collector
10835-10836,2257.830453,5500,Arterial/Collector
10836-10831,5409.72179,5500,Arterial/Collector
10836-10835,3675.717284,5500,Arterial/Collector
10839-21510,26128.63259,43700,Interstate
10840-21512,35021.75501,47050,Interstate
10842-10795,3509.843851,3700,Arterial/Collector
10842-11298,6753.130308,2650,Arterial/Collector
10843-10715,14701.64296,9650,Arterial/Collector
10843-11154,14054.11874,7350,Arterial/Collector
10844-11057,3906.515929,600,Arterial/Collector
10845-10724,14436.40096,6250,Arterial/Collector
10845-11048,11938.00055,7450,Arterial/Collector
10846-10847,23280.88569,11350,Arterial/Collector
10847-10830,13129.31166,6600,Arterial/Collector
10847-10846,23972.80436,11350,Arterial/Collector
10848-21516,38016.13437,44100,Interstate
10852-10666,8689.178172,3600,Arterial/Collector
10852-21531,8950.785725,2800,Interstate
10853-21529,17312.63216,7800,Interstate
10856-10545,3878.441918,2850,Arterial/Collector
10856-10812,5646.623103,2200,Arterial/Collector
10856-11053,5647.594194,4050,Arterial/Collector
10858-10832,19194.30256,10800,Arterial/Collector
10859-10805,23458.78914,19800,Arterial/Collector
10859-10937,25073.22687,18500,Arterial/Collector
10860-10861,68258.86411,41850,Interstate
10861-10817,455.7244776,1400,Interstate
10862-10676,4584.897154,2800,Arterial/Collector
10862-21534,6911.689846,4600,Interstate
10863-21520,77526.32205,37650,Interstate
10874-11095,3530.88938,950,Arterial/Collector
10881-10714,18150.01602,14350,Arterial/Collector
10881-11175,11982.09408,8900,Arterial/Collector
10886-10944,9638.133502,1600,Interstate
10892-10947,5118.136711,2400,Interstate
10894-10949,22973.90484,6300,Interstate
10904-10706,21450.4894,11400,Arterial/Collector
10904-11041,20540.72316,11400,Arterial/Collector
10905-10832,15652.01311,3050,Arterial/Collector
10905-10937,17129.9744,1850,Arterial/Collector
10906-10854,1520.813918,3200,Interstate
10907-10976,7829.051552,850,Interstate
10909-19812,684.6667707,4000,Interstate
10910-21523,74554.97112,38600,Interstate
10912-10853,6002.066074,5300,Interstate
10918-10919,54301.76564,28200,Interstate
10919-10918,50658.25552,28200,Interstate
10919-10920,54096.98738,28200,Interstate
10920-10919,50453.47725,28200,Interstate
10923-10852,9071.678967,1800,Interstate
10929-21525,78206.47703,34700,Interstate
10936-10825,8826.343892,2750,Arterial/Collector
10936-11229,8882.191933,4050,Arterial/Collector
10937-10859,20818.39294,18500,Arterial/Collector
10937-10905,16991.48784,1850,Arterial/Collector
10942-10768,88901.58347,27350,Interstate
10944-10884,977.1455072,1200,Interstate
10949-21515,628.0500169,9700,Interstate
10952-21530,96238.28962,37050,Interstate
10955-11114,1838.13548,750,Arterial/Collector
10959-10862,7658.392965,3300,Interstate
10959-20691,90248.39872,39200,Interstate
10965-10783,2825.539019,450,Arterial/Collector
10965-11114,2814.38763,450,Arterial/Collector
10966-19812,3162.335453,3900,Interstate
10969-10942,9539.531785,1750,Interstate
10973-11088,3208.323765,2650,Arterial/Collector
10974-20695,94843.65015,33400,Interstate
10977-21532,92165.81007,39350,Interstate
10991-11274,80304.84619,83550,Interstate
10992-10782,90351.81314,33400,Interstate
10993-10910,1364.115703,3000,Interstate
11000-21507,3554.94783,2700,Interstate
11005-10952,13036.85022,1700,Interstate
11005-11467,5984.587553,1850,Arterial/Collector
11007-10948,4873.665411,5400,Interstate
11011-11059,12407.05545,12600,Interstate
11018-21749,3023.414003,300,Arterial/Collector
11019-10692,4515.611935,1500,Arterial/Collector
11024-11054,18646.10706,15950,Arterial/Collector
11026-10929,2437.76106,3300,Interstate
11027-11031,99019.44366,35250,Interstate
11028-10977,7936.877781,6300,Interstate
11028-11488,6952.204005,9350,Arterial/Collector
11030-11042,586.4512068,950,Arterial/Collector
11031-10942,79362.05167,27350,Interstate
11036-10718,6668.200834,3900,Arterial/Collector
11036-11344,8071.422129,3950,Arterial/Collector
11039-10830,13629.02985,6150,Arterial/Collector
11039-11146,13870.88108,6300,Arterial/Collector
11041-10904,18366.30595,11400,Arterial/Collector
11041-11077,21832.41115,9850,Arterial/Collector
11048-10845,12279.6225,7450,Arterial/Collector
11048-11057,6460.57294,950,Arterial/Collector
11048-11112,12324.34628,7450,Arterial/Collector
11052-10997,90351.81314,33400,Interstate
11053-10856,5627.661774,4050,Arterial/Collector
11053-11303,4290.209931,4050,Arterial/Collector
11054-11024,22480.59795,15950,Arterial/Collector
11057-10844,3907.850628,600,Arterial/Collector
11057-11048,7090.433771,950,Arterial/Collector
11057-11155,2578.386138,600,Arterial/Collector
11058-20692,94143.24633,36150,Interstate
11059-11176,102561.594,49850,Interstate
11063-20263,13901.79704,8200,Interstate
11064-20263,72551.38901,83550,Interstate
11065-21715,13717.87108,12200,Arterial/Collector
11077-11041,20526.81943,9850,Arterial/Collector
11077-11111,18573.17075,9850,Arterial/Collector
11081-11082,5301.112673,2850,Arterial/Collector
11081-11090,6135.218643,2850,Arterial/Collector
11081-11219,9069.448045,8450,Arterial/Collector
11082-11081,5335.755271,2850,Arterial/Collector
11086-11068,13901.79704,8200,Interstate
11087-11088,2599.348299,2100,Arterial/Collector
11088-10973,2863.968507,2650,Arterial/Collector
11088-11087,3954.942131,2100,Arterial/Collector
11088-11089,3967.680615,2100,Arterial/Collector
11088-11232,1859.856449,4450,Arterial/Collector
11089-10763,2556.429084,3250,Arterial/Collector
11089-11088,4959.774413,2100,Arterial/Collector
11089-11090,3749.319917,2450,Arterial/Collector
11089-11233,2342.265004,3250,Arterial/Collector
11090-10758,22744.56482,14350,Arterial/Collector
11090-11081,4804.904701,2850,Arterial/Collector
11090-11089,4381.042847,2450,Arterial/Collector
11090-11234,21670.54849,14350,Arterial/Collector
11095-10874,2095.805652,950,Arterial/Collector
11095-11143,5855.243405,950,Arterial/Collector
11097-21742,73972.27868,77100,Interstate
11106-10799,77254.65613,66300,Interstate
11107-10826,7492.333263,7000,Arterial/Collector
11107-11231,20090.23211,9800,Arterial/Collector
11111-11077,17981.07319,9850,Arterial/Collector
11111-11326,14222.61664,9850,Arterial/Collector
11112-11048,12036.1068,7450,Arterial/Collector
11114-10955,2034.395905,750,Arterial/Collector
11114-10965,2960.04515,450,Arterial/Collector
11125-10831,18360.7252,10650,Arterial/Collector
11125-11240,17884.30029,8850,Arterial/Collector
11129-6762,11991.52089,12350,Interstate
11140-11297,5738.50616,1350,Arterial/Collector
11142-11064,66868.95368,83550,Interstate
11143-11095,3404.705891,950,Arterial/Collector
11143-11183,5631.743813,1900,Arterial/Collector
11144-20176,86732.42893,74600,Interstate
11145-11106,72157.4119,61700,Interstate
11145-22427,16597.23705,14300,Interstate
11146-11039,13503.26202,6300,Arterial/Collector
11146-11295,12829.09844,6300,Arterial/Collector
11148-11160,37010.74178,15850,Interstate
11152-11204,5129.685702,2000,Arterial/Collector
11153-20321,75641.87369,77000,Interstate
11154-10843,14985.98625,7350,Arterial/Collector
11154-11155,23267.83658,13550,Arterial/Collector
11155-11057,3336.943683,600,Arterial/Collector
11155-11154,23346.96857,13550,Arterial/Collector
