id,vadt,AADT,FacilityType,flag
12051-21593,59895.17386,84390,Interstate,N
12053-12035,6452.828387,9007,Interstate,N
12053-20729,44083.57509,56342,Interstate,N
12057-12077,63246.60904,94571,Interstate,N
12062-12063,43329.73854,56539,Interstate,N
12062-12104,14015.17167,17426,Interstate,N
12063-11940,50201.57191,62558,Interstate,N
12077-21605,18263.43803,21048,Interstate,N
12077-21612,44983.16897,88865,Interstate,N
12081-12123,9156.435343,15077,Interstate,N
12082-12062,57344.9106,70194,Interstate,N
12090-21606,52103.73108,85449,Interstate,N
12093-12138,4924.128289,4728,Interstate,N
12096-12063,6871.833306,8419,Interstate,N
12101-12049,6557.448016,14673,Interstate,N
12101-21635,40639.55152,26300,Interstate,N
12104-12107,6871.833306,8419,Interstate,N
12109-21601,61634.01373,94571,Interstate,N
12113-20727,6693.697751,2856,Interstate,N
12121-20284,29414.48325,15261,Interstate,N
12124-21842,9639.177292,8274,Interstate,N
12126-11899,52142.47248,75923,Interstate,N
12132-20216,83180.1817,98700,Interstate,N
12134-24080,23163.13425,19198,Interstate,N
12134-24082,25277.83607,19138,Interstate,N
12147-12102,41997.23359,43000,Interstate,N
12147-21624,3506.765975,3000,Interstate,N
12148-12270,25798.55734,20446,Interstate,N
12148-24081,29266.22857,20252,Interstate,N
12157-12808,56105.41107,72400,Interstate,N
12161-12199,3826.883453,2800,Interstate,N
12162-12132,6910.304667,6000,Interstate,N
12170-12259,3525.532567,5500,Interstate,N
12178-12721,10668.78814,12066,Interstate,N
12182-21632,19953.00953,58691,Interstate,N
12199-20215,82439.28941,89400,Interstate,N
12259-12361,44023.33549,29500,Interstate,N
12270-12148,26413.18039,20446,Interstate,N
12270-12392,25881.47185,20446,Interstate,N
12286-20210,82080.19685,98400,Interstate,N
12288-20468,34590.94501,40200,Interstate,N
12288-20480,9208.094278,8200,Interstate,N
12294-12299,17873.58749,18459,Interstate,N
12294-23290,17903.69419,18459,Interstate,N
12295-23290,21840.99035,16518,Interstate,N
12299-12294,16670.16534,18459,Interstate,N
12304-12343,3519.291642,3200,Interstate,N
12305-12286,6357.526605,6400,Interstate,N
12312-12338,26954.55642,22335,Interstate,N
12323-20467,5661.398829,4300,Interstate,N
12332-20466,8913.126035,6500,Interstate,N
12333-20347,31098.3128,22335,Interstate,N
12338-12333,29796.35528,22335,Interstate,N
12343-12521,79531.22304,87800,Interstate,N
12361-21631,84233.25135,95173,Interstate,N
12362-12147,45503.99949,41205,Interstate,N
12362-21613,48808.05654,58691,Interstate,N
12364-21831,12144.28781,14070,Interstate,N
12369-12364,13434.34953,14070,Interstate,N
12375-12425,3405.116225,4627,Interstate,N
12388-12393,13003.76675,14070,Interstate,N
12392-12270,25812.4051,20446,Interstate,N
12392-12459,31307.83809,23498,Interstate,N
12393-12429,11854.37309,14070,Interstate,N
12398-20463,13832.3583,16600,Interstate,N
12398-20465,34587.85315,37800,Interstate,N
12419-12369,11735.51082,14070,Interstate,N
12425-12375,3895.983478,4627,Interstate,N
12436-20336,5917.068569,3585,Interstate,N
12459-12392,28386.03364,23498,Interstate,N
12461-12688,17087.70278,13790,Interstate,N
12467-12521,2415.012834,4800,Interstate,N
12489-21832,11877.18243,13790,Interstate,N
12501-12565,9425.501328,7880,Interstate,N
12501-12582,10534.64138,15025,Interstate,N
12521-23956,81946.23529,92600,Interstate,N
12533-12743,52613.35852,67965,Interstate,N
12535-12466,2655.010186,3500,Interstate,N
12535-20211,81577.63009,95200,Interstate,N
12537-12362,94312.05738,108800,Interstate,N
12565-20331,8043.039898,14170,Interstate,N
12582-20331,12485.67401,10078,Interstate,N
12585-12537,5669.739499,4522,Interstate,N
12606-12535,84232.64113,98700,Interstate,N
