root,node,count,Category,color
North Cook,DuPage,89575,Model,#43c8ac
North Cook,IL,3405,Model,#43c8ac
North Cook,IN,1875,Model,#43c8ac
North Cook,Kane,32895,Model,#43c8ac
North Cook,Kendall,705,Model,#43c8ac
North Cook,CBD,18385,Model,#43c8ac
North Cook,Lake,229435,Model,#43c8ac
North Cook,McHenry,32495,Model,#43c8ac
North Cook,North Chicago,332060,Model,#43c8ac
North Cook,North Cook,2074020,Model,#43c8ac
North Cook,South Chicago,10220,Model,#43c8ac
North Cook,South Cook,6255,Model,#43c8ac
North Cook,WI,7175,Model,#43c8ac
North Cook,West Chicago,24495,Model,#43c8ac
North Cook,West Cook,184365,Model,#43c8ac
North Cook,Will,5405,Model,#43c8ac
South Chicago,DuPage,714627.7544,Survey,#8c2b68
South Chicago,IL,1530.455154,Survey,#8c2b69
South Chicago,IN,59477.45273,Survey,#8c2b70
South Chicago,Kane,157041.2081,Survey,#8c2b71
South Chicago,Kendall,207350.1955,Survey,#8c2b72
South Chicago,CBD,616994.4749,Survey,#8c2b73
South Chicago,Lake,272186.9161,Survey,#8c2b74
South Chicago,McHenry,333162.7053,Survey,#8c2b75
South Chicago,North Chicago,2280647.931,Survey,#8c2b76
South Chicago,North Cook,474771.3942,Survey,#8c2b77
South Chicago,South Chicago,35502155.73,Survey,#8c2b78
South Chicago,South Cook,5625399.927,Survey,#8c2b79
South Chicago,West Chicago,3154992.089,Survey,#8c2b80
South Chicago,West Cook,949340.7014,Survey,#8c2b81
South Chicago,Will,1598821.923,Survey,#8c2b82
South Chicago,DuPage,13735,Model,#8c2b83
South Chicago,IL,2590,Model,#8c2b84
South Chicago,IN,46925,Model,#8c2b85
South Chicago,Kane,1365,Model,#8c2b86
South Chicago,Kendall,510,Model,#8c2b87
South Chicago,CBD,120205,Model,#8c2b88
South Chicago,Lake,2245,Model,#8c2b89
South Chicago,McHenry,410,Model,#8c2b90
South Chicago,North Chicago,87990,Model,#8c2b91
South Chicago,North Cook,10405,Model,#8c2b92
South Chicago,South Chicago,1272670,Model,#8c2b93
South Chicago,South Cook,246385,Model,#8c2b94
South Chicago,WI,195,Model,#8c2b95
South Chicago,West Chicago,183750,Model,#8c2b96
South Chicago,West Cook,39980,Model,#8c2b97
South Chicago,Will,15045,Model,#8c2b98
South Cook,DuPage,1732832.634,Survey,#b98049
South Cook,IL,2802631.548,Survey,#b98050
South Cook,IN,187980.5245,Survey,#b98051
South Cook,Kane,106540.8427,Survey,#b98052
South Cook,Kendall,204437.2673,Survey,#b98053
South Cook,CBD,382696.3388,Survey,#b98054
South Cook,Lake,431033.4951,Survey,#b98055
South Cook,McHenry,5074.268533,Survey,#b98056
South Cook,North Chicago,743749.6223,Survey,#b98057
South Cook,North Cook,1148940.956,Survey,#b98058
South Cook,South Chicago,5968623.891,Survey,#b98059
South Cook,South Cook,139298108.2,Survey,#b98060
South Cook,West Chicago,1653927.131,Survey,#b98061
South Cook,West Cook,5706990.613,Survey,#b98062
South Cook,Will,19407256.29,Survey,#b98063
South Cook,DuPage,32580,Model,#b98064
South Cook,IL,9905,Model,#b98065
South Cook,IN,136425,Model,#b98066
South Cook,Kane,1950,Model,#b98067
South Cook,Kendall,1450,Model,#b98068
South Cook,CBD,21980,Model,#b98069
South Cook,Lake,1175,Model,#b98070
South Cook,McHenry,320,Model,#b98071
South Cook,North Chicago,21250,Model,#b98072
South Cook,North Cook,6405,Model,#b98073
South Cook,South Chicago,245760,Model,#b98074
South Cook,South Cook,1735240,Model,#b98075
South Cook,WI,55,Model,#b98076
South Cook,West Chicago,46275,Model,#b98077
South Cook,West Cook,85680,Model,#b98078
South Cook,Will,150765,Model,#b98079
West Chicago,DuPage,773078.4736,Survey,#848bd3
West Chicago,IN,2736.450502,Survey,#848bd4
West Chicago,Kane,109944.9614,Survey,#848bd5
West Chicago,CBD,303343.9988,Survey,#848bd6
