OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
14758,656.000000000000000,South Chicago,0.033976194643702,0.000070676862811
14759,655.000000000000000,South Chicago,0.033976815658359,0.000070679456961
14760,652.000000000000000,South Chicago,0.033917929908919,0.000070452769529
14761,651.000000000000000,West Chicago,0.034176757354693,0.000071371853472
14762,560.000000000000000,West Chicago,0.034133818683524,0.000071238284074
14763,561.000000000000000,West Chicago,0.034178109637930,0.000071448775391
14764,557.000000000000000,West Chicago,0.034194192390426,0.000071532297549
14765,556.000000000000000,West Chicago,0.034192221634202,0.000071526944154
14766,553.000000000000000,West Chicago,0.034194317616327,0.000071518413012
14767,552.000000000000000,West Chicago,0.034170533118461,0.000071403299655
14768,549.000000000000000,West Chicago,0.034121068285165,0.000071227377290
14769,672.000000000000000,South Chicago,0.029977116689696,0.000050563591032
14770,673.000000000000000,South Chicago,0.030104370176873,0.000044570226179
14771,671.000000000000000,South Chicago,0.034047671542919,0.000070866386472
14772,670.000000000000000,South Chicago,0.034078010876952,0.000071021489241
14773,666.000000000000000,South Chicago,0.034047365930197,0.000070945395341
14774,665.000000000000000,South Chicago,0.034066383486397,0.000071037745267
14775,662.000000000000000,South Chicago,0.034032736877536,0.000070918109573
14776,661.000000000000000,South Chicago,0.034015829809361,0.000070837105796
14777,658.000000000000000,South Chicago,0.033988566565965,0.000070722071775
14778,657.000000000000000,South Chicago,0.033989051275238,0.000070724211032
14779,654.000000000000000,South Chicago,0.033917053869068,0.000070449914984
14780,653.000000000000000,South Chicago,0.034122896270230,0.000071178519006
14781,563.000000000000000,West Chicago,0.034098262100326,0.000071112188346
14782,562.000000000000000,West Chicago,0.034140903416456,0.000071318559778
14783,559.000000000000000,West Chicago,0.034225318176410,0.000071646332314
14784,558.000000000000000,West Chicago,0.034223348920331,0.000071640396908
14785,555.000000000000000,West Chicago,0.034209283610778,0.000071571972783
14786,554.000000000000000,West Chicago,0.034186330159403,0.000071462672798
14787,551.000000000000000,West Chicago,0.034083287222310,0.000071092673752
14788,694.000000000000000,South Chicago,0.035767646676761,0.000062594523284
14789,691.000000000000000,South Chicago,0.034139683142570,0.000071317303027
14790,690.000000000000000,South Chicago,0.034103924062905,0.000071141545053
14791,687.000000000000000,South Chicago,0.034026370442321,0.000070877136217
14792,686.000000000000000,South Chicago,0.034085229138611,0.000071163553712
14793,683.000000000000000,South Chicago,0.034078449268891,0.000071143985361
14794,682.000000000000000,South Chicago,0.034025438817578,0.000070884886647
14795,679.000000000000000,South Chicago,0.034007650609805,0.000070803743365
14796,678.000000000000000,South Chicago,0.034040778135274,0.000070966228076
14797,675.000000000000000,South Chicago,0.034014870492976,0.000070925102957
14798,674.000000000000000,South Chicago,0.034229934013396,0.000071783913609
14799,585.000000000000000,South Chicago,0.034228505032127,0.000071762005672
14800,584.000000000000000,South Chicago,0.034128527708696,0.000071275288969
14801,581.000000000000000,West Chicago,0.034172169332199,0.000071373625263
14802,580.000000000000000,West Chicago,0.034177002158836,0.000071396456029
14803,577.000000000000000,West Chicago,0.034173510427383,0.000071411547238
14804,576.000000000000000,West Chicago,0.034217359037838,0.000071619554021
14805,573.000000000000000,West Chicago,0.034135397512081,0.000071357023388
14806,695.000000000000000,South Chicago,0.033846540804271,0.000070723421793
14807,693.000000000000000,South Chicago,0.034054402251034,0.000071006053067
14808,692.000000000000000,South Chicago,0.034018193176332,0.000070827811079
14809,696.000000000000000,South Chicago,0.019522639111061,0.000014977072311
14810,689.000000000000000,South Chicago,0.033998885762559,0.000070774745630
14811,688.000000000000000,South Chicago,0.034058190012953,0.000071065511855
14812,685.000000000000000,South Chicago,0.034085146436450,0.000071165216439
14813,684.000000000000000,South Chicago,0.034032260343652,0.000070909165535
14814,681.000000000000000,South Chicago,0.034011298308626,0.000070822686610
14815,680.000000000000000,South Chicago,0.034043273776400,0.000070976814549
14816,677.000000000000000,South Chicago,0.034011482069305,0.000070914113377
14817,676.000000000000000,South Chicago,0.034144607902344,0.000071473868878
14818,587.000000000000000,South Chicago,0.034236724895813,0.000071787506604
14819,586.000000000000000,South Chicago,0.034137547509587,0.000071304363289
14820,583.000000000000000,South Chicago,0.034163183711453,0.000071340264707
14821,582.000000000000000,South Chicago,0.034168503318022,0.000071367264012
14822,579.000000000000000,West Chicago,0.034124575305654,0.000071235556427
14823,578.000000000000000,West Chicago,0.034167593793136,0.000071439105697
14824,575.000000000000000,West Chicago,0.034136831041830,0.000071364227357
14825,718.000000000000000,South Chicago,0.030764179831740,0.000051587474501
14826,717.000000000000000,South Chicago,0.034007300828466,0.000070769062332
14827,714.000000000000000,South Chicago,0.033991435238858,0.000070735190798
14828,713.000000000000000,South Chicago,0.033980955642751,0.000070687286094
14829,710.000000000000000,South Chicago,0.033947873683906,0.000070569227172
14830,709.000000000000000,South Chicago,0.033946818754192,0.000070562381002
14831,706.000000000000000,South Chicago,0.034018676208321,0.000070816802432
14832,705.000000000000000,South Chicago,0.034018294397742,0.000070817511200
14833,702.000000000000000,South Chicago,0.033976944962565,0.000070660421161
14834,701.000000000000000,South Chicago,0.033966895003911,0.000070612607577
14835,698.000000000000000,South Chicago,0.033871404375125,0.000070240445379
14836,697.000000000000000,South Chicago,0.033883677277311,0.000070248427456
14837,603.000000000000000,South Chicago,0.034049335468929,0.000070869625867
14838,602.000000000000000,South Chicago,0.034118016605791,0.000071205823491
14839,599.000000000000000,South Chicago,0.034202290007377,0.000071554089496
14840,598.000000000000000,South Chicago,0.034196681781646,0.000071526253875
14841,595.000000000000000,South Chicago,0.034105775096238,0.000071164511995
14842,594.000000000000000,South Chicago,0.034067010820880,0.000070978081873
14843,593.000000000000000,West Chicago,0.033947262357364,0.000070522004704
14844,720.000000000000000,South Chicago,0.034237283116039,0.000071250239765
14845,719.000000000000000,South Chicago,0.034152337742681,0.000071298938194
14846,716.000000000000000,South Chicago,0.034001229164453,0.000070768356165
14847,715.000000000000000,South Chicago,0.033992106631124,0.000070725765556
14848,712.000000000000000,South Chicago,0.033909462282513,0.000070427594274
14849,711.000000000000000,South Chicago,0.033909540337857,0.000070426641678
14850,708.000000000000000,South Chicago,0.034048701714666,0.000070927875892
14851,707.000000000000000,South Chicago,0.034049696432123,0.000070932334031
14852,703.000000000000000,South Chicago,0.033963502527929,0.000070614346395
14853,704.000000000000000,South Chicago,0.033954258146866,0.000070566405014
14854,700.000000000000000,South Chicago,0.033868312532418,0.000070225323313
14855,699.000000000000000,South Chicago,0.033907485324275,0.000070331685781
14856,605.000000000000000,South Chicago,0.034052128166417,0.000070879870644
14857,604.000000000000000,South Chicago,0.034120447123570,0.000071215292910
14858,601.000000000000000,South Chicago,0.034188848825385,0.000071505509115
14859,600.000000000000000,South Chicago,0.034184501497864,0.000071482806968
14860,597.000000000000000,South Chicago,0.034133426901102,0.000071269589451
14861,596.000000000000000,South Chicago,0.034094295834956,0.000071077884768
14862,2693.000000000000000,South Cook,0.033839118792811,0.000070130407967
14863,741.000000000000000,South Chicago,0.034233312830123,0.000071626739056
14864,738.000000000000000,South Chicago,0.034007545611498,0.000070803254015
14865,737.000000000000000,South Chicago,0.034037831391103,0.000070949139955
14866,734.000000000000000,South Chicago,0.033934168459346,0.000070558310508
14867,733.000000000000000,South Chicago,0.033867788678424,0.000070238005191
14868,730.000000000000000,South Chicago,0.034007638558386,0.000070713156621
