cat,subgroup,value,xaxis,hours
school,Model-Depart,5455,14,11:00 AM
university,Model-Depart,6250,14,11:00 AM
work,Model-Depart,7005,14,11:00 AM
work-based,Model-Depart,29985,14,11:00 AM
discretionary,Model-Depart,16410,15,11:30 AM
escort,Model-Depart,34995,15,11:30 AM
maintenance,Model-Depart,41320,15,11:30 AM
school,Model-Depart,5480,15,11:30 AM
university,Model-Depart,5560,15,11:30 AM
work,Model-Depart,5930,15,11:30 AM
work-based,Model-Depart,76020,15,11:30 AM
discretionary,Model-Depart,16950,16,12:00 PM
escort,Model-Depart,13810,16,12:00 PM
maintenance,Model-Depart,42080,16,12:00 PM
school,Model-Depart,3330,16,12:00 PM
university,Model-Depart,4690,16,12:00 PM
work,Model-Depart,5545,16,12:00 PM
work-based,Model-Depart,96895,16,12:00 PM
discretionary,Model-Depart,17295,17,12:30 PM
escort,Model-Depart,12745,17,12:30 PM
maintenance,Model-Depart,41130,17,12:30 PM
school,Model-Depart,2255,17,12:30 PM
university,Model-Depart,3770,17,12:30 PM
work,Model-Depart,5360,17,12:30 PM
work-based,Model-Depart,40985,17,12:30 PM
discretionary,Model-Depart,18145,18,1:00 PM
escort,Model-Depart,11235,18,1:00 PM
maintenance,Model-Depart,42545,18,1:00 PM
school,Model-Depart,1330,18,1:00 PM
university,Model-Depart,3540,18,1:00 PM
work,Model-Depart,4775,18,1:00 PM
work-based,Model-Depart,27620,18,1:00 PM
discretionary,Model-Depart,18840,19,1:30 PM
escort,Model-Depart,19625,19,1:30 PM
maintenance,Model-Depart,42285,19,1:30 PM
school,Model-Depart,1825,19,1:30 PM
university,Model-Depart,3165,19,1:30 PM
work,Model-Depart,4490,19,1:30 PM
work-based,Model-Depart,17315,19,1:30 PM
discretionary,Model-Depart,19230,20,2:00 PM
escort,Model-Depart,33575,20,2:00 PM
maintenance,Model-Depart,42875,20,2:00 PM
school,Model-Depart,1640,20,2:00 PM
university,Model-Depart,2930,20,2:00 PM
work,Model-Depart,3900,20,2:00 PM
work-based,Model-Depart,10385,20,2:00 PM
discretionary,Model-Depart,20235,21,2:30 PM
escort,Model-Depart,43020,21,2:30 PM
maintenance,Model-Depart,42705,21,2:30 PM
school,Model-Depart,2055,21,2:30 PM
university,Model-Depart,2480,21,2:30 PM
work,Model-Depart,3575,21,2:30 PM
work-based,Model-Depart,7140,21,2:30 PM
discretionary,Model-Depart,24065,22,3:00 PM
escort,Model-Depart,42375,22,3:00 PM
maintenance,Model-Depart,48040,22,3:00 PM
school,Model-Depart,2365,22,3:00 PM
university,Model-Depart,2370,22,3:00 PM
work,Model-Depart,3125,22,3:00 PM
work-based,Model-Depart,4785,22,3:00 PM
discretionary,Model-Depart,33465,23,3:30 PM
escort,Model-Depart,35820,23,3:30 PM
maintenance,Model-Depart,59075,23,3:30 PM
school,Model-Depart,1970,23,3:30 PM
university,Model-Depart,2285,23,3:30 PM
work,Model-Depart,3235,23,3:30 PM
work-based,Model-Depart,3185,23,3:30 PM
discretionary,Model-Depart,43120,24,4:00 PM
escort,Model-Depart,35855,24,4:00 PM
maintenance,Model-Depart,69915,24,4:00 PM
school,Model-Depart,1765,24,4:00 PM
university,Model-Depart,2535,24,4:00 PM
work,Model-Depart,2945,24,4:00 PM
work-based,Model-Depart,2050,24,4:00 PM
discretionary,Model-Depart,46050,25,4:30 PM
escort,Model-Depart,37040,25,4:30 PM
maintenance,Model-Depart,73370,25,4:30 PM
school,Model-Depart,1410,25,4:30 PM
university,Model-Depart,2500,25,4:30 PM
work,Model-Depart,2645,25,4:30 PM
work-based,Model-Depart,1155,25,4:30 PM
